
#From:.authword,Enter the correct password above and then type the characters you see in the picture below.
.authword,Introduzca la contraseña correcta arriba y, a continuación, escriba los caracteres que ve en la imagen siguiente.
#From:regenerate,Regenerate
regenerate,Regenerar
#From:TA3,Hardware Version
TA3,Versión de hardware
#From:help360,Super G without Turbo:
help360,Super G sin Turbo:
#From:YM10,Warnings
YM10,Avisos
#From:GW_WAN_PPTP_SERVER_IP_ADDRESS_INVALID,Invalid PPTP server IP address: %v
GW_WAN_PPTP_SERVER_IP_ADDRESS_INVALID,Dirección IP del servidor PPTP: %v
#From:YM150,Video.
YM150,Vídeo
#From:GW_DHCP_SERVER_RESERVATION_IN_USE,The IP address %v is in use; you must Revoke its lease and reset the network settings for the device that uses it.
GW_DHCP_SERVER_RESERVATION_IN_USE,La dirección IP %v está en uso; debe anular su arrendamiento y restaurar los parámetros de red del dispositivo que la usa.
#From:GW_NAT_INPUT_PORT,Firewall Port
GW_NAT_INPUT_PORT,Puerto de firewall
#From:WIFISC_AP_REBOOT_COMPLETE,Reboot by %s complete
WIFISC_AP_REBOOT_COMPLETE,Reinicio por %s completado
#From:YM182,Latest Firmware Version
YM182,?ltima versión de firmware
#From:LW3,1000Mbps
LW3,1000 Mbps
#From:YM116,WPA Personal Key must be at least 8 characters.
YM116,La clave WPA Personal debe tener como mínimo 8 caracteres.
#From:LW22,WEP Key
LW22,Clave WEP
#From:OPEN,Open
OPEN,Abierto
#From:YM158,WISH Sessions
YM158,Sesiones WISH
#From:ZM16,Send/Receive instance failure
ZM16,Fallo al enviar/recibir
#From:.aa.bsecure.select.age,Select Age Category
.aa.bsecure.select.age,Seleccione la categoría de edad
#From:GW_ROUTES_DESTINATION_IP_ADDRESS_INVALID,Route destination IP %v is invalid
GW_ROUTES_DESTINATION_IP_ADDRESS_INVALID,La ruta IP de destino %v no es válida
#From:WIFISC_AP_RESET_COMPLETE,Reset by %s complete
WIFISC_AP_RESET_COMPLETE,Restablecimiento por %s completado
#From:bd.NETBIOS_REG,NetBIOS Registration mode
bd.NETBIOS_REG,Modo de registro NetBIOS
#From:GW_LAN_GATEWAY_IP_ADDRESS_INVALID,LAN Gateway IP address is invalid.
GW_LAN_GATEWAY_IP_ADDRESS_INVALID,La dirección IP del gateway de la LAN no es válida.
#From:KR96,Saves the new or edited Schedule Rule.
KR96,Guarda la regla de programación nueva o modificada.
#From:GW_XML_CONFIG_GET_SUCCESS,Successfully exported configuration file
GW_XML_CONFIG_GET_SUCCESS,El archivo de configuración se ha exportado correctamente
#From:.ask.nochange,Nothing has changed, save anyway?
.ask.nochange,No se ha cambiado nada, ¿desea guardar?
#From:GW_UPNP_IGD_PORTMAP_REFRESH,UPnP renew entry %v <-> %v:%d <-> %v:%d %s timeout:%d '%s'
GW_UPNP_IGD_PORTMAP_REFRESH,Entrada renovación UPnP %v <-> %v:%d <-> %v:%d %s tiempo de espera:%d '%s'
#From:bws.msg.WPA.2,To achieve better wireless performance use <strong>WPA2 Only</strong> security mode (or in other words AES cipher).
bws.msg.WPA.2,Para lograr un mejor rendimiento inalámbrico, use en modo de seguridad <strong>Solo WPA2</strong> (o, en otros términos, cifrado AES).
#From:GW_LAN_IP_ADDRESS_INVALID,LAN IP address is invalid.
GW_LAN_IP_ADDRESS_INVALID,La dirección IP de la LAN no es válida.
#From:KR5,Remote IP Start
KR5,Primera IP remota
#From:help88c,The QoS Engine supports overlaps between rules, where more than one rule can match for a specific message flow. If more than one rule is found to match the rule with the highest priority will be used.
help88c,QoS Engine soporta coincidencias entre reglas, en las que más de una regla se corresponde con un flujo de mensaje específico. Si se encuentra ma más de una regla que coincide, se usará la regla que tenga mayor prioridad.
#From:GW_INET_ACL_SCHEDULE_NAME_INVALID,Schedule name %s is not defined.
GW_INET_ACL_SCHEDULE_NAME_INVALID,El nombre de programación %s no está definido.
#From:GW_NAT_IP_ADDRESS_INVALID,IP address for '%s' should be within LAN subnet (%v).
GW_NAT_IP_ADDRESS_INVALID,La dirección IP para '%s' debe estar dentro de la subred de la LAN (%v).
#From:help369,128-bit hexadecimal keys are exactly 26 characters in length. (456FBCDF123400122225271730 is a valid string of 26 characters for 128-bit encryption.)
help369,Las claves hexadecimales de 128-bit tienen una longitud exacta de 26 caracteres. (456FBCDF123400122225271730 es una cadena válida de 26 caracteres para la encriptación de 128-bit .)
#From:help48a,Instead of entering a name for the Special Application rule, you can select from this list of common applications, and the remaining configuration values will be filled in accordingly.
help48a,En vez de entrar un nombre para la regla de aplicación especial, puede seleccionarlo en la lista de aplicaciones comunes, y el resto de valores de configuración se incluirán en ella como corresponde.
#From:LW38,Wireless Settings
LW38,Parámetros inalámbricos
#From:GW_DYNDNS_USER_NAME_INVALID,user account must be specified
GW_DYNDNS_USER_NAME_INVALID,se ha de especificar la cuenta de usuario
#From:hhav.r_dest_ip,The destination IP address is the address of the host or network you wish to reach.
hhav.r_dest_ip,La dirección IP de destino es la dirección del host o de la red a la que quiere acceder.
#From:YM175,The remote admin port number is not valid.
YM175,El número de puerto admin remoto no es válido.
#From:LY3,Wi-Fi Protected Setup is used to easily add devices to a network using a PIN or button press. Devices must support Wi-Fi Protected Setup in order to be configured by this method.
LY3,Wi-Fi Protected Setup se usa para añadir fácilmente dispositivos a una red por medio de un PIN o un botón. Los dispositivos han de admitir Wi-Fi Protected Setup para que puedan configurarse con este método.
#From:GW_UPNP_IGD_PORTMAP_ADD,UPnP added entry %v <-> %v:%d <-> %v:%d %s timeout:%d '%s'
GW_UPNP_IGD_PORTMAP_ADD,Entrada UPnP añadida %v <-> %v:%d <-> %v:%d %s tiempo de espera:%d '%s'
#From:GW_UPNP_IGD_PORTMAP_CONFLICT,UPnP conflict with existing entry %v <-> %v:%d <-> %v:%d %s '%s'
GW_UPNP_IGD_PORTMAP_CONFLICT,UPnP entra en conflicto con la entrada existente %v <-> %v:%d <-> %v:%d %s '%s'
#From:KRA1,Message
KRA1,Mensaje
#From:.vs.port,Port
.vs.port,Puerto
#From:GW_INET_ACL_RECONFIGURED_WARNING,<warn>Access Control Table is being reconfigured because the LAN subnet has been changed.</warn>
GW_INET_ACL_RECONFIGURED_WARNING,<warn>La tabla de control de acceso se esta reconfigurando porque se ha cambiado la subred de la LAN.</warn>
#From:help80b,Enables the router to recognize certain audio and video streams generated by a Windows Media Center PC and to prioritize these above other traffic. Such streams are used by systems known as Windows Media Extenders, such as the Xbox 360.
help80b,Habilita el router para reconocer ciertos canales continuos de audio y vídeo generados por un PC Windows Media Center y para priorizarlos respecto al resto de tráfico. Estos canales continuos los usan los sistemas conocidos como Windows Media Extenders, por ejemplo, la Xbox 360.
#From:help90,Create a name for the rule that is meaningful to you.
help90,Cree un nombre para la regla que sea significativo para usted.
#From:YM145,For most applications, the priority classifiers ensure the right priorities and specific WISH Rules are not required.
YM145,Para la mayoría de aplicaciones, los clasificadores de prioridad garantizan las prioridades correctas y no se requieren reglas WISH específicas.
#From:WIFISC_AP_UNSET_SELECTED_REGISTRAR,Unset Selected Registrar
WIFISC_AP_UNSET_SELECTED_REGISTRAR,Desactivar registro seleccionado
#From:GW_WAN_DNS_SERVER_SECONDARY_WITHOUT_PRIMARY_INVALID,Secondary DNS cannot be specified without giving a primary also.
GW_WAN_DNS_SERVER_SECONDARY_WITHOUT_PRIMARY_INVALID,No se puede especificar el DNS secundario si no se da también un primario.
#From:GW_NAT_TRIGGER_PORT,Trigger Port
GW_NAT_TRIGGER_PORT,Puerto trigger
#From:YM72,WISH (Wireless Intelligent Stream Handling) prioritizes the traffic of various wireless applications.
YM72,WISH (Wireless Intelligent Stream Handling) prioriza el tráfico de varias aplicaciones inalámbricas.
#From:.hints,Helpful Hints
.hints,Consejos útiles
#From:GW_QOS_RULES_LOCAL_PORT,'%s': Local port start, %u, must be less than local port end, %u
GW_QOS_RULES_LOCAL_PORT,%s': primer puerto local, %u, ha de ser menor que el último puerto local, %u
#From:YM52,Invalid local start IP Address.
YM52,La dirección IP de inicio local no es válida.
#From:.aa.bsecure.chat,Chat
.aa.bsecure.chat,Chat
#From:help104,Destination IP:
help104,IP de destino:
#From:help839,Note that, in Microsoft's current implementation of WCN, you cannot save the wireless settings if a profile of the same name already exists. To work around this limitation, either delete the existing profile or change the SSID when you change the wireless settings; then, when you save the new settings, a new profile will be created.
help839,Tenga en cuenta que, en la actual implementación de WCN de Microsoft, no puede guardar los parámetros inalámbricos si ya existe un perfil con el mismo nombre. Para salvar esta limitación, elimine el perfil existente o cambie el SSID cuando modifique los parámetros inalámbricos; después, cuando guarde los nuevos parámetros, se creará un nuevo perfil.
#From:YM99,Invalid WAN IP address
YM99,La dirección IP de la WAN no es válida
#From:.aa.bsecure.byage,By Age
.aa.bsecure.byage,Por edad
#From:GW_INET_ACL_NAME_DUPLICATE_INVALID,Name '%s' already exists.
GW_INET_ACL_NAME_DUPLICATE_INVALID,El nombre '%s' ya existe.
#From:GW_DHCP_SERVER_POOL_TO_INVALID,The DHCP server end address %v is not valid in the LAN subnet %v.
GW_DHCP_SERVER_POOL_TO_INVALID,La dirección final del servidor DHCP %v no es válida en la subred de la LAN %v.
#From:KR26,In progress
KR26,En curso
#From:YM92,Do you want to enable the DHCP Reservation entry for IP Address
YM92,¿Quiere habilitar la entrada de reserva DHCP para la dirección IP?
#From:GW_DHCP_SERVER_RESERVED_IP_INVALID,Reserved IP %v is invalid
GW_DHCP_SERVER_RESERVED_IP_INVALID,La IP reservada %v no es válida
#From:help19x1,The common choices -- UDP, TCP, and both UDP and TCP -- can be selected from the drop-down menu.
help19x1,En el menú desplegable se pueden seleccionar las opciones más comunes: UDP, TCP, y UDP y TCP .
#From:.aa.bsecure.unstable,Unstable
.aa.bsecure.unstable,Inestable
#From:GW_DHCP_SERVER_RESERVED_IP_IN_POOL_INVALID,Reserved IP address %v should be within the configured DHCP range.
GW_DHCP_SERVER_RESERVED_IP_IN_POOL_INVALID,La dirección IP reservada %v debe estar en el rango DHCP configurado.
#From:GW_FIREWALL_FILTER_NAME_INVALID,Filter Rule '%s' can't be deleted or renamed because it is used.
GW_FIREWALL_FILTER_NAME_INVALID,La regla de filtro '%s' no se puede eliminar ni renombrar porque está en uso.
#From:ZM19,You might need this file so that you can load your configuration later in the event that the router's default settings are restored.
ZM19,Puede necesitar este archivo más adelante para cargar su configuración en caso de que se hayan restaurado los parámetros por defecto del router.
#From:YM80,Video (VI)
YM80,Vídeo (VI)
#From:bd.NETBIOS_WINS.2,Secondary WINS Server IP address
bd.NETBIOS_WINS.2,Dirección IP del servidor WINS secundario
#From:KR57,Re-initializes the Add/Update area of the screen, erasing any changes that you may have made prior to clicking the Add/Update button.
KR57,Reinicializa el área Añadir/actualizar de la pantalla, con lo que se borran todos los cambios que haya podido hacer antes de hacer clic en el botón Añadir/actualizar.
#From:YM164,Active
YM164,Activo
#From:.logsyslog.alert2,IP address is not allowed
.logsyslog.alert2,La dirección IP no está permitida
#From:YM149,Best Effort.
YM149,Best Effort.
#From:LT120,Invalid DHCP Server lease time
LT120,El tiempo de espera del servidor DHCP no es válido
#From:KR48,Auto (WPA or WPA2) - Personal
KR48,Auto (WPA o WPA2) - Personal
#From:GW_WAN_RECONNECT_INTERVAL_INVALID,Invalid Reconnect interval: %u (must be between 20 and 180)
GW_WAN_RECONNECT_INTERVAL_INVALID,El intervalo de reconexión %u no es válido (ha de estar comprendido entre 20 y 180)
#From:YM139,Controls endpoint filtering for packets of the TCP protocol.
YM139,Controla el filtrado de punto final para paquetes de protocolo TCP.
#From:YM61,Remote start port should be between 0 and 65535 inclusive.
YM61,El puerto inicio remoto debe estar comprendido entre 0 y 65535 inclusive.
#From:GW_NAT_VIRTUAL_SERVER_TABLE_RECONFIGURED_WARNING,<warn>Virtual Server Table is being reconfigured because the LAN subnet has been changed.</warn>
GW_NAT_VIRTUAL_SERVER_TABLE_RECONFIGURED_WARNING,<warn>La tabla de servidor virtual se esta reconfigurando porque se ha cambiado la subred de la LAN.</warn>
#From:YM1,Reboot needed
YM1,Es necesario reiniciar
#From:bws.WKL,WEP Key Length
bws.WKL,Longitud de clave WEP
#From:LY5,PIN Settings
LY5,Parámetros PIN
#From:KR102,Save Settings Succeeded
KR102,Los parámetros se han guardado correctamente
#From:GW_QOS_RULES_LOCAL_IP_START_SUBNET,'%s': Local IP start '%v' is not in the LAN subnet
GW_QOS_RULES_LOCAL_IP_START_SUBNET,%s': Local IP start '%v' no está en la subred de la LAN
#From:GW_WAN_PPTP_IP_ADDRESS_INVALID,Invalid PPTP IP address: %v
GW_WAN_PPTP_IP_ADDRESS_INVALID,La dirección IP PPTP %v no es válida
#From:.aa.bsecure.alcohol,Alcohol
.aa.bsecure.alcohol,Alcohol
#From:YM14,Port Filter rule names cannot be duplicated.
YM14,Los nombres de regla de filtro de puerto no pueden estar duplicados.
#From:GW_WLAN_11B_DYNAMIC_TURBO_INVALID,Dynamic Turbo mode is not allowed with 802.11b.
GW_WLAN_11B_DYNAMIC_TURBO_INVALID,El modo Dynamic Turbo no está permitido con 802.11b.
#From:GW_UPNP_IGD_PORTMAP_EXPIRE,UPnP expired entry %v <-> %v:%d <-> %v%d %s '%s'
GW_UPNP_IGD_PORTMAP_EXPIRE,Entrada UPnP finalizada  %v <-> %v:%d <-> %v%d %s '%s'
#From:help107,One bits in the mask specify which bits of the IP address must match.
help107,Bits a 1 en la máscara especifica qué bits de la dirección IP han de coincidir.
#From:aw.erpe.h2,This option is available only when <span class="option">802.11 Mode</span> is set to <span class="option">802.11ng only</span>.
aw.erpe.h2,Esta opción está disponible solo cuando el <span class="option">modo 802.11</span> está establecido como <span class="option">Solo 802.11ng</span>.
#From:YM21,Invalid Destination Port Start for Port Filter
YM21,El primer puerto de destino para el filtro de puerto no es válido
#From:YM147,The priority of the message flow is entered here. Four priorities are defined:
YM147,Aquí se introduce la prioridad del flujo del mensaje. Están definidas cuatro prioridades:
#From:KR68,When the log email option is set, log emails are sent to the Internet by way of the upstream router.
KR68,Cuando está activada la opción de mensaje de correo de registro, los mensajes de registro se envían a internet a través del router ascendente.
#From:LW61,This Wizard helps you add wireless devices to the wireless network.
LW61,Este asistente le ayuda a añadir dispositivos inalámbricos a la red inalámbrica.
#From:GW_WAN_L2TP_USERNAME_INVALID,A L2TP user name MUST be specified
GW_WAN_L2TP_USERNAME_INVALID,Se ha de especificar un nombre de usuario L2TP
#From:LT120z,Invalid Secondary WINS IP
LT120z,La IP de WINS secundario no es válida
#From:KR97,WPA/WPA2
KR97,WPA/WPA2
#From:GW_WAN_L2TP_SUBNET_INVALID,Invalid L2TP subnet mask %v
GW_WAN_L2TP_SUBNET_INVALID,La máscara de subred L2TP %v no es válida
#From:help.ts.ss,Save Settings To Local Hard Drive
help.ts.ss,Guardar parámetros en el disco duro local
#From:.aa.bsecure.automobile,Automobile
.aa.bsecure.automobile,Automóvil
#From:LW13,Add Wireless Device Wizard
LW13,Asistente para añadir dispositivos inalámbricos
#From:sch.time,Time Frame
sch.time,Periodo de tiempo
#From:bws.intro.WlsSec,To protect your privacy you can configure wireless security features. This device supports three wireless security modes, including WEP, WPA-Personal, and WPA-Enterprise. WEP is the original wireless encryption standard. WPA provides a higher level of security. WPA-Personal does not require an authentication server. The WPA-Enterprise option requires an external RADIUS server.
bws.intro.WlsSec,Para proteger su privacidad, puede configurar características de seguridad inalámbrica. Este dispositivo admite tres modos de seguridad inalámbrica: WEP, WPA-Personal y WPA-Enterprise. WEP es el estándar de encriptación inalámbrica original. WPA ofrece un mayor grado de seguridad. WPA-Personal no requiere un servidor de autentificación. La opción WPA-Enterprise requiere un servidor RADIUS externo.
#From:GW_WAN_PPPOE_PASSWORD_INVALID,A PPPoE password MUST be specified
GW_WAN_PPPOE_PASSWORD_INVALID,Se ha de especificar una contraseña PPPoE
#From:help211,Before you can use the router's WCN Wizard, you must first execute the Wireless Network Setup Wizard on your PC. If you have not already done so, go to the Windows Control Panel and select Wireless Network Setup Wizard. When the Wireless Network Setup Wizard gives you the choice to "Use a USB flash drive" or "Set up a network manually", choose the latter. (In fact, you will not have to do the set-up manually; it will be done with the WCN ActiveX Control.)
help211,Antes de usar el asistente WCN del router, ha de ejecutar el Asistente de configuración de red inalámbrica en su PC. Si todavía no lo ha hecho, baja al Panel de control de Windows y seleccione Asistente de configuración de red inalámbrica. Cuando el asistente le presente las opciones de «Usar una unidad flash USB» o «Configurar una red manualmente», elija la segunda. (De hecho, no tendrá que hacer la configuración manualmente; se llevara a cabo con el control ActiveX WCN.)
#From:LS202,Invalid Subnet Mask
LS202,La máscara de subred no es válida
#From:tsc.end_time,End Time
tsc.end_time,Hora de finalización
#From:KR34,This wizard will guide you through a step-by-step process to add your wireless device to your wireless network.
KR34,Este asistente le guiará a través de los pasos necesarios para añadir un dispositivo inalámbrico a su red inalámbrica.
#From:.wepkey3,WEP Key 3
.wepkey3,Clave WEP 3
#From:at.RePortR,Remote Port Range
at.RePortR,Rango de puerto remoto
#From:.vs.other,Other
.vs.other,Otro
#From:GW_SMTP_SERVER_ADDRESS_INVALID,The given server address (%s) is invalid
GW_SMTP_SERVER_ADDRESS_INVALID,La dirección del servidor indicada (%s) no es válida
#From:GW_WAN_L2TP_GATEWAY_IP_ADDRESS_INVALID,Invalid L2TP gateway IP address: %v
GW_WAN_L2TP_GATEWAY_IP_ADDRESS_INVALID,La dirección IP del gateway L2TP no es válida: %v
#From:LW58,Shows the current value of the router's PIN.
LW58,Muestra el valor actual del PIN del router.
#From:LW22usekey,Key In Use
LW22usekey,Clave en uso
#From:GW_WLAN_11B_STATIC_TURBO_INVALID,Static Turbo mode is not allowed with 802.11b.
GW_WLAN_11B_STATIC_TURBO_INVALID,El modo Static Turbo no está permitido con 802.11b.
#From:YM67,invalid destination ending IP Address.
YM67,La dirección IP final de destino no es válida.
#From:GW_WIFISC_CFG_CHANGED_WARNING,<warn>Changing wireless security settings may cause Wi-Fi protected Setup to not function as expected.</warn>
GW_WIFISC_CFG_CHANGED_WARNING,<warn>Cambiar los parámetros de seguridad inalámbrica puede hacer que Wi-Fi Protected Setup no funcione como se espera.</warn>
#From:ZM10,Restart during DNS query
ZM10,Reiniciar durante la petición DNS
#From:GW_WLAN_11A_CHANNEL_INVALID,Can not use 802.11b/g channel when the 802.11 mode is 802.11a.
GW_WLAN_11A_CHANNEL_INVALID,No se puede usar el canal 802.11b/g si el modo 802.11 es 802.11a.
#From:at.title.SERules,QoS Engine Rules
at.title.SERules,Reglas QoS Engine
#From:YM176,The remote admin port should be in the range of 1 to 65535.
YM176,El puerto admin remoto debe estar en el rango de 1 a 65535.
#From:KR81,NetBIOS allow LAN hosts to discover all other computers within the network, e.g. within Network Neighbourhood.
KR81,NetBIOS permite a los hosts de la  LAN que descubran otros ordenadores dentro de la red; por ejemplo, dentro del vecindario de la red.
#From:GW_NAT_TCP_PORT,TCP Port
GW_NAT_TCP_PORT,Puerto TCP
#From:YM155,The rule applies to a flow of messages for which host 2's port number is within the range set here.
YM155,La regla se aplica a un flujo de mensajes cuyo número puerto del host 2 está dentro del rango definido aquí.
#From:help365,This mode is backwards compatible with non-Turbo (legacy) devices. This mode should be enabled when some devices on the wireless network are not Turbo enabled but support other Super G features mentioned above.
help365,Este modo es compatible con dispositivos anteriores sin Turbo (antiguos). Se ha habilitar este modo cuando en la red inalámbrica hay algunos dispositivos sin Turbo pero que admiten otras características Super G mencionadas anteriormente.
#From:bd.NETBIOS_SCOPE,NetBIOS Scope
bd.NETBIOS_SCOPE,?mbito NetBIOS
#From:KR28,Session Aborted
KR28,Sesión abortada
#From:.webfilter,Web Filter
.webfilter,Filtro web
#From:YM33,Invalid Aggregation Num Packets
YM33,El número de paquetes de agregación no es válido
#From:YM76,Automatic
YM76,Automático
#From:WIFISC_AP_SETUP_UNLOCKED,Unlock AP setup
WIFISC_AP_SETUP_UNLOCKED,Desbloquear configuración de punto de acceso
#From:GW_NAT_VS_PUBLIC_PORT_CAN_NOT_MATCH_HTTPS_ADMIN_PORT,Virtual server '%s' can not use the router's HTTPS WAN administration port, %u
GW_NAT_VS_PUBLIC_PORT_CAN_NOT_MATCH_HTTPS_ADMIN_PORT,El servidor virtual '%s' no puede usar el puerto de administración de la WAN HTTPS del router, %u
#From:LS313,Release
LS313,Liberar
#From:bwz.WCNWz,Microsoft Windows Connect Now Wizard
bwz.WCNWz,Asistente Windows Connect Now de Microsoft
#From:ZM9,DNS Lookup Login Server
ZM9,Servidor de entrada a DNS Lookup
#From:GW_DHCP_SERVER_RESERVED_MAC_UNIQUENESS_INVALID,Reserved IP address for this MAC address(%m) is already set.
GW_DHCP_SERVER_RESERVED_MAC_UNIQUENESS_INVALID,La dirección IP reservada para está dirección MAC(%m) ya está activa.
#From:LW7,PIN Settings
LW7,Parámetros PIN
#From:YM87,For most applications, the priority classifiers ensure the right priorities, and specific WISH Rules are not required.
YM87,Para la mayoría de aplicaciones, los clasificadores de prioridad garantizan las prioridades correctas, y no se requieren reglas WISH específicas.
#From:GW_NAT_WAN_PING_FILTER_INVALID,The WAN Ping filter name %s does not exist
GW_NAT_WAN_PING_FILTER_INVALID,El nombre de filtro de Ping WAN %s no existe
#From:help835,If your PC's operating system is Windows XP Service Pack 2 (SP2) or later and you are using Windows Internet Explorer (IE) as your browser, you can use this option to save key parts of the router's current wireless security settings to your PC with Windows Connect Now (WCN) technology. The settings will then be available to propagate to other wireless devices.
help835,Si el sistema operativo de su PC es Windows XP Service Pack 2 (SP2) o superior y su navegador es Windows Internet Explorer (IE), puede utilizar esta opción para guardar partes de la clave de los parámetros de seguridad inalámbrica actuales del router en su PC con la tecnología Windows Connect Now (WCN). Los parámetros estarán disponibles para transmitirlos a otros dispositivos inalámbricos.
#From:at.lowpriority,(1..255)
at.lowpriority,(1..255)
#From:YM49,A name is required for rule number
YM49,Se requiere un nombre para el número de regla
#From:GW_INET_ACCESS_POLICY_TOO_MANY_IP_INVALID,You cannot add new IP address %v. You can only reuse IP addresses from other policies.
GW_INET_ACCESS_POLICY_TOO_MANY_IP_INVALID,No puede añadir la nueva dirección IP %v. Solo puede reutilizar direcciones IP de otras políticas.
#From:YM112,Invalid L2TP server IP address
YM112,La dirección IP del servidor L2TP no es válida
#From:KR90,H-Node, this indicates a Hybrid-State of operation. First WINS servers are tried, if any, followed by local network broadcast. This is generally the preferred mode if you have configured WINS servers.
KR90,H-Node es un estado híbrido de funcionamiento. Primero se prueban los servidores WINS, si hay alguno, y después se difunde por la red local. Este suele ser el modo favorito si ha configurado servidores WINS .
#From:help838,Note that WCN only saves a few of the wireless security settings. When you use WCN to propagate settings to other wireless devices, you may have to make additional settings manually on those devices.
help838,Tenga en cuenta que WCN solo guarda unos pocos parámetros de seguridad inalámbrica. Cuando use WCN para transmitir los parámetros a otros dispositivos inalámbricos, puede tener que definir manualmente otros parámetros en esos dispositivos.
#From:at.ETS,Enable Traffic Shaping
at.ETS,Habilitar regulación del tráfico
#From:KR73,If WAN Port Mode is set to "Bridge Mode", the following choices are displayed in place of the above choices, because the device is functioning as a bridge in a network that contains another router.
KR73,Si el modo del puerto de la WAN está establecido como «Modo bridge», se mostrarán las siguientes opciones en vez de las anteriores, porque el dispositivo funciona como un bridge en una red que contiene otro router.
#From:wwl.intro.s3.2,There are several levels of wireless security. The level you choose depends on the security features your wireless adapters support.
wwl.intro.s3.2,Hay varios niveles de seguridad inalámbrica. El nivel de seguridad que elija dependerá de las características de seguridad que admitan sus adaptadores inalámbricos.
#From:.r.alert5,Invalid Metric for route
.r.alert5,La métrica para la ruta no es válida
#From:GW_NAT_WAN_PING_FILTER_WARNING,<warn>The WAN Ping filter name %s no longer exists, WAN PING will be disabled.</warn>
GW_NAT_WAN_PING_FILTER_WARNING,<warn>El nombre de filtro de Ping WAN  %s ya no existe, el PING WAN se deshabilitará.</warn>
#From:GW_WAN_WAN_PING_FILTER_WARNING,<warn>The WAN Ping filter name %s no longer exists, WAN PING will be disabled.</warn>
GW_WAN_WAN_PING_FILTER_WARNING,<warn>El nombre de filtro de Ping WAN  %s ya no existe, el PING WAN se deshabilitará.</warn>
#From:YM53,Invalid local end IP Address.
YM53,La dirección IP final local no es válida.
#From:help215,Note that WCN only sets a few of the wireless options. You will still need to go to the <a href="../Basic/Wireless.shtml">Wireless Settings</a> page to set other wireless options such as Super G Mode and transmission rate.
help215,Tenga en cuenta que WCN solo establece algunas de las opciones inalámbricas. Habrá de ir a la página <a href="../Basic/Wireless.shtml">Parámetros inalámbricos</a> para establecer otras opciones inalámbricas, como  el modo Super G y la tasa de transmisión.
#From:YM140,WISH is short for Wireless Intelligent Stream Handling, a technology developed to enhance your experience of using a wireless network by prioritizing the traffic of different applications.
YM140,WISH es la sigla de Wireless Intelligent Stream Handling, una tecnología desarrollada para mejorar su experiencia de usar una red inalámbrica, por medio de la priorización del tráfico de diferentes aplicaciones.
#From:GW_DHCPSERVER_REJECTED,The DHCP server address %v was rejected by the network device. If you have more than one DHCP server on your network this may cause IP address conflicts.
GW_DHCPSERVER_REJECTED,La dirección del servidor DHCP %v ha sido rechazada por el dispositivo de red. Si dispone de más de un servidor  DHCP en su red, pueden darse conflictos de dirección IP.
#From:YM142,Allows the router to recognize HTTP transfers for many common audio and video streams and prioritize them above other traffic. Such streams are frequently used by digital media players.
YM142,Permite al router reconocer transferencias HTTP para muchos canales continuos de audio y vídeo, y priorizarlos respecto al resto de tráfico. Tales canales son usados  con frecuencia por los reproductores de medios digitales.
#From:GW_DYNDNS_PASSWORD_INVALID,password must be specified
GW_DYNDNS_PASSWORD_INVALID,Se ha de especificar una contraseña
#From:YM152,The rule applies to a flow of messages for which one computer's IP address falls within the range set here.
YM152,La regla se aplica a un flujo de mensajes para los que la dirección IP del ordenador falla dentro del rango establecido aquí.
#From:LT119a,Invalid DHCP Server End IP Range
LT119a,El rango IP final del servidor DHCP no es válido
#From:LW36,If you are having trouble accessing the Internet through the router, double check any settings you have entered on this page and verify them with your ISP if needed.
LW36,Si tiene problemas para acceder a internet a través del router, compruebe los parámetros que ha introducido en esta página y verifíquelos con su  ISP si es necesario.
#From:help377,The encryption algorithm used to secure the data communication. TKIP (Temporal Key Integrity Protocol) provides per-packet key generation and is based on WEP. AES (Advanced Encryption Standard) is a very secure block based encryption. With the "TKIP and AES" option, the router negotiates the cipher type with the client, and uses AES when available.
help377,El algoritmo de encriptación usado para garantizar la comunicación de los datos. TKIP (Temporal Key Integrity Protocol) ofrece generación de clave por paquete y se basa en WEP. AES (Advanced Encryption Standard) es una encriptación muy segura basada en el bloqueo. Con la opción «TKIP y AES», el router negocia el tipo de cifrado con el cliente, y usa AES cuando está disponible.
#From:GW_NAT_PORT_TRIGGER_PORT_RANGE_INVALID,%s '%s' is invalid.
GW_NAT_PORT_TRIGGER_PORT_RANGE_INVALID,%s '%s' no es válido.
#From:YM121,Invalid WEP Keys
YM121,Las claves WEP no son válidas
#From:YM29,Invalid Fragmentation Threshold
YM29,El umbral de fragmentación no es válido
#From:YM159,The WISH Sessions page displays full details of active local wireless sessions through your router when WISH has been enabled. A WISH session is a conversation between a program or application on a wirelessly connected LAN-side computer and another computer, however connected.
YM159,La página de sesiones WISH muestra todos los detalles de las sesiones inalámbricas locales activas que pasan por el router cuando WISH está habilitado. Una sesión WISH es una conversación entre un programa o aplicación que está en un ordenador del lado de la LAN inalámbrica y otro ordenador, con independencia de cómo esté conectado.
#From:YM120,Invalid Port Number.
YM120,El número de puerto no es válido
#From:wwl.BETTER,BETTER
wwl.BETTER,MEJOR
#From:LW55,Enable the Wi-Fi Protected Setup feature.
LW55,Habilitar la característica Wi-Fi Protected Setup.
#From:YM106,Invalid PPPoE subnet mask
YM106,La máscara de subred PPPoE no es válida
#From:.aa.bsecure.block.unrated,Block Unrated Sites
.aa.bsecure.block.unrated,Bloquear sitios no clasificados
