
#From:.authword,Enter the correct password above and then type the characters you see in the picture below.
.authword,Immettere la password corretta, quindi digitare i caratteri visualizzati nell'immagine seguente.
#From:regenerate,Regenerate
regenerate,Ricrea
#From:GW_WAN_PPPOE_LAN_SUBNET_CONFLICT_INVALID,PPPoE IP address %v conflicts with LAN subnet
GW_WAN_PPPOE_LAN_SUBNET_CONFLICT_INVALID,L'indirizzo IP PPPoE %v è in conflitto con la sottorete di LAN
#From:GW_XML_CONFIG_SET_SUCCESS,Successfully imported configuration file
GW_XML_CONFIG_SET_SUCCESS,File di configurazione importato con successo
#From:YM60,Local end port should be between 0 and 65535 inclusive.
YM60,La porta locale finale deve essere compresa tra 0 e 65535, estremi inclusi.
#From:KR100,Save Settings Failed
KR100,Errore nel salvataggio delle impostazioni
#From:KR61,Select this option if the WAN port is connected to the Internet. The device functions as a NAT router.
KR61,Selezionare questa opzione se la porta WAN è connessa a Internet. Il dispositivo funge da router NAT.
#From:bws.WKL.0,64 bit (10 hex digits)
bws.WKL.0,64 bit (10 cifre esadecimali)
#From:bws.msg.WPA,Use <strong>WPA or WPA2</strong> mode to achieve a balance of strong security and best compatibility. This mode uses WPA for legacy clients while maintaining higher security with stations that are WPA2 capable. Also the strongest cipher that the client supports will be used. For best security, use <strong>WPA2 Only</strong> mode. This mode uses AES(CCMP) cipher and legacy stations are not allowed access with WPA security. For maximum compatibility, use <strong>WPA Only</strong>. This mode uses TKIP cipher. Some gaming and legacy devices work only in this mode.
bws.msg.WPA,Per ottenere un buon equilibrio tra sicurezza e compatibilit?, si consiglia di utilizzare l'opzione <strong>WPA o WPA2</strong>. Questa opzione utilizza il protocollo WPA per i client wireless di vecchia generazione, mantenendo un livello più elevato di sicurezza per i client compatibili con il protocollo WPA2.  In questo modo vengono utilizzati i codici più potenti supportati dal client. Per massimizzare il grado di sicurezza, utilizzare l'opzione <strong>Solo WPA2</strong>. Questa modalit? utilizza il codice AES(CCMP) e non consente l'accesso ai client wireless di vecchia generazione basati sul protocollo WPA. Per massimizzare la compatibilit? utilizzare l'opzione <strong>Solo WPA</strong>. Questa modalit? utilizza il codice TKIP. Alcuni giochi e dispositivi di vecchia generazione funzionano esclusivamente in questa modalit?.
#From:YM109,Invalid L2TP IP address
YM109,Indirizzo IP L2TP invalido
#From:WIFISC_AP_RESET_FAIL,Reset by %s failed, reason (%s), err_code (%u)
WIFISC_AP_RESET_FAIL,Reset da %s fallito, causa (%s), err_code (%u)
#From:GW_WISH_RULES_HOST2_PORT,'%s': Host 2 port start, %u, must be less than host 2 port end, %u
GW_WISH_RULES_HOST2_PORT,%s': La porta iniziale, %u, dell'host 2 deve essere inferiore alla porta finale %u
#From:help.ts.ls,Load Settings From Local Hard Drive
help.ts.ls,Carica le impostazioni dal disco fisso locale
#From:YM101,Invalid WAN gateway IP address
YM101,Indirizzo IP di WAN del gateway invalido
#From:KR50,Auto
KR50,Auto
#From:YM56,Protocol must be a number.
YM56,Il protocollo deve essere un numero.
#From:aa.WebSite.Domain,Website URL/Domain
aa.WebSite.Domain,URL/Dominio del sito web
#From:GW_QOS_RULES_MAX_TRANS,Max transmission rate should be between 8 kbps and 100 Mbps, inclusive.
GW_QOS_RULES_MAX_TRANS,La velocit? massima di trasmissione deve essere compresa tra 8 kbps e 100 Mbps, estremi inclusi.
#From:GW_QOS_RULES_PROTOCOL,'%s': Protocol, %d, needs to be between 0 and 257
GW_QOS_RULES_PROTOCOL,%s': Il protocollo, %d, deve essere compreso tra 0 e 257
#From:GW_WEB_SERVER_NO_ACCESS,You must have at least one of HTTP or HTTPS enabled.
GW_WEB_SERVER_NO_ACCESS,? necessario abilitare almeno uno dei due protocolli HTTP o HTTPS.
#From:KR87,Configure the IP address of the backup WINS server, if any.
KR87,Configura l'indirizzo IP del server WINS di backup, se disponibile.
#From:GW_WISH_RULES_DUPLICATED,'%s' is duplicate of '%s'
GW_WISH_RULES_DUPLICATED,%s' è un duplicato di '%s'.
#From:YM16,Destination IP Start address should not be in LAN subnet
YM16,L'indirizzo IP di destinazione iniziale potrebbe non appartenere alla sottorete di LAN
#From:GW_SCHEDULES_NAME_CONFLICT_INVALID,Name '%s' is already used
GW_SCHEDULES_NAME_CONFLICT_INVALID,Il nome '%s' è gi? in uso
#From:wepkey4,WEP Key 4
wepkey4,Chiave WEP 4
#From:GW_WEB_SERVER_SAME_PORT_WAN,HTTP and HTTPS cannot occupy the same WAN port.
GW_WEB_SERVER_SAME_PORT_WAN,HTTP e HTTPS non possono occupare la stessa porta di WAN.
#From:YM65,invalid source ending IP Address.
YM65,Indirizzo IP di origine finale invalido.
#From:bln.title,Network Settings
bln.title,Impostazioni di rete
#From:WIFISC_AP_PROXY_PROCESS_FAIL,STA with MAC (%m) failed to register in, reason (%s), err_code (%u)
WIFISC_AP_PROXY_PROCESS_FAIL,STA con MAC (%m) non è riuscito a registrarsi, causa (%s), err_code (%u)
#From:.more,More
.more,Ulteriori informazioni
#From:ZM12,Send/Receive login
ZM12,Login Invio/Ricezione
#From:.aa.bsecure.banner_ad,Banner Ad
.aa.bsecure.banner_ad,Banner pubblicitario
#From:LY23,Wireless Status
LY23,Stato wireless
#From:help88b,For most applications, automatic classification will be adequate, and specific QoS Engine Rules will not be required.
help88b,Per la maggior parte delle applicazioni, è sufficiente la classificazione automatica e non sono richieste regole QoS Engine specifiche.
#From:bwl.NSS.h1,Selecting more than one spatial stream can increase throughput, but can in some cases decrease signal quality.
bwl.NSS.h1,L'utilizzo di più flussi spaziali incrementa la velocit? ma può causare una riduzione della qualit? del segnale.
#From:GW_INET_ACL_NO_MACHINE_IN_LAN_SUBNET_INVALID,There is no machine defined in policy %s.
GW_INET_ACL_NO_MACHINE_IN_LAN_SUBNET_INVALID,Non ci sono dispositivi definiti per la politica %s.
#From:LW39c,Before launching these wizards, please make sure you have followed all steps outlined in the Quick Installation Guide included in the package.
LW39c,Prima di lanciare questo programma, verificare di avere eseguito tutte le fasi descritte nel manuale rapido di installazione fornito con il prodotto.
#From:WIFISC_AP_SET_SELECTED_REGISTRAR_COMPLETE,Set Selected Registrar complete
WIFISC_AP_SET_SELECTED_REGISTRAR_COMPLETE,Impostazione registrar selezionato completa
#From:GW_DHCP_CLIENT_CLIENT_NAME_INVALID,Invalid DHCP Client name
GW_DHCP_CLIENT_CLIENT_NAME_INVALID,Nome client DHCP invalido
#From:YM166,Failed to retrieve active session list. Retrying
YM166,Errore nel reperimento dell'elenco delle sessioni attive. Nuovo tentativo in corso
#From:WIFISC_AP_REBOOT_FAIL,Reboot by %s fail, reason (%s), err_code (%u)
WIFISC_AP_REBOOT_FAIL,Riavvio da %s fallito, causa (%s), err_code (%u)
#From:help91,The priority of the message flow is entered here -- 1 receives the highest priority (most urgent) and 255 receives the lowest priority (least urgent).
help91,In questo punto è possibile inserire la priorit? del flusso di messaggi  -- 1 riceve la priorit? più elevata (il più urgente) e 255 ricevono la priorit? più bassa (meno urgenti).
#From:LW39,The following Web-based wizards are designed to assist you in your wireless network setup and wireless device connection.
LW39,Il seguente programma basato sul Web è stato progettato per assistere l'utente nella configurazione della rete wireless e nella connessione dei dispositivi.
#From:YM174,Password and Verify Password do not match. Please reconfirm user password.
YM174,I campi Password e Verifica password non corrispondono. Riconfermare la password dell'utente.
#From:YM13,A Port Filter rule name cannot be blank.
YM13,Il campo regola filtro porta è obbligatorio.
#From:YM172,Your web browser is too old to use this web site. Please upgrade your browser.
YM172,Il browser web è troppo obsoleto per accedere a questo sito. Aggiornare il browser.
#From:YM31,Invalid TPC Max Gain
YM31,TPC massimo rendimento invalido
#From:.aa.wiz.s6.msg,Select the Sentinel categories to filter.
.aa.wiz.s6.msg,Selezionare le categorie sentinella per il filtro.
#From:GW_SMTP_PASSWORD_INVALID,Password is invalid
GW_SMTP_PASSWORD_INVALID,Password invalida
#From:YM85,Host 2 Port Range
YM85,L'intervallo delle porte dell'host 2
#From:GW_SCHEDULES_NAME_INVALID,The 'Name' field can not be blank
GW_SCHEDULES_NAME_INVALID,Il campo Nome è obbligatorio
#From:LS204,Invalid Gateway
LS204,Gateway invalido
#From:aw.16,16 Kbytes
aw.16,16 Kbyte
#From:aw.erpe.h3,(Refer to the <a href="../Basic/Wireless.shtml"> Setup?&rarr;?Wireless Settings &rarr; Manual Wireless Network Setup</a> page.)
aw.erpe.h3,(Consultare la pagina <a href="../Basic/Wireless.shtml"> Configurazione &rarr;?Impostazioni wireless &rarr; Configurazione manuale della rete wireless</a>.)
#From:LW64,Start the wizard.
LW64,Avvia il programma.
#From:.days,Day(s)
.days,Giorno/i
#From:at.intro,Use this section to configure D-Link's QoS Engine powered by StreamEngine&trade; Technology. The QoS Engine improves your online gaming experience by ensuring that your game traffic is prioritized over other network traffic, such as FTP or Web.
at.intro,Utilizzare questa sezione per configurare il D-Link QoS Engine alimentato dalla tecnologia StreamEngine&trade;. Il QoS Engine migliora le esperienze di gioco online, assegnando al traffico legato ai giochi livelli di priorit? più elevati rispetto ad altri tipi di traffico, per esempio FTP o Web.
#From:help103,Specifies whether the entry will be enabled or disabled.
help103,Specifica se la voce viene abilitata o disabilitata.
#From:YM183,-
YM183,-
#From:YM117,Invalid Group Key Update Interval.
YM117,Intervallo aggiornamento chiave di gruppo invalido
#From:KR54,Formerly, the terms "Full Cone", "Restricted Cone", "Port Restricted Cone" and "Symmetric" were used to refer to different variations of NATs. These terms are purposely not used here, because they do not fully describe the behavior of this router's NAT.
KR54,In passato, i termini "Full Cone", "Restricted Cone", "Port Restricted Cone" e "Symmetric" si riferivano a diverse varianti di NAT. Questi termini non vengono utilizzati intenzionalmente in questo contesto perché non descrivono adeguatamente il comportamento della funzione NAT di questo router.
#From:av.intro.r,This Routing page allows you to specify custom routes that determine how data is moved around your network.
av.intro.r,La pagina Routing consente di specificare i percorsi personalizzati e di definire le modalit? con le quali i dati si muovono all'interno della rete.
#From:help368,64-bit hexadecimal keys are exactly 10 characters in length. (12345678FA is a valid string of 10 characters for 64-bit encryption.)
help368,Le chiavi esadecimali a 64 bit hanno una lunghezza di 10 caratteri. (12345678FA è una stringa valida di 10 caratteri per una cifratura a 64 bit).
#From:hhav.enable,Each route has a check box next to it, check this box if you want the route to be enabled.
hhav.enable,A ciascun percorso è associata una casella di selezione. Selezionare la casella per abilitare il percorso.
#From:GW_WAN_DNS_SERVERS_INVALID,DNS Servers must be configured.
GW_WAN_DNS_SERVERS_INVALID,Il server DNS deve essere configurato.
#From:.rs.succeeded,Restore Succeeded
.rs.succeeded,Ripristino terminato con successo
#From:GW_WAN_PPTP_USERNAME_INVALID,A PPTP user name MUST be specified
GW_WAN_PPTP_USERNAME_INVALID,? OBBLIGATORIO specificare un nome utente PPTP
#From:GW_WAN_L2TP_IP_ADDRESS_INVALID,Invalid L2TP IP address: %v
GW_WAN_L2TP_IP_ADDRESS_INVALID,Indirizzo IP L2TP invalido: %v
#From:GW_INET_ACL_NAME_INVALID,Name can not be empty string.
GW_INET_ACL_NAME_INVALID,Il campo Nome è obbligatorio.
#From:days,Days
days,Giorni
#From:KR88,This is an advanced setting and is normally left blank. This allows the configuration of a NetBIOS 'domain' name under which network hosts operate.
KR88,Questa è un'impostazione avanzata, generalmente non utilizzata. Consente la configurazione di un nome dominio NetBIOS all'interno del quale operano gli host della rete.
#From:GW_WAN_PPPOE_IP_ADDRESS_INVALID,Invalid PPPoE IP address: %v
GW_WAN_PPPOE_IP_ADDRESS_INVALID,Indirizzo IP PPPoE invalido: %v
#From:KR19,For good security it should be of ample length and should not be a commonly known phrase.
KR19,Per garantire un buon livello di sicurezza deve essere sufficientemente lunga e non deve essere rappresentata da una frase di uso comune.
#From:RATE_ESTIMATOR_RATE_COMPLETED_WITH_SPEED,Rate estimation completed. Upstream speed is %u kbps
RATE_ESTIMATOR_RATE_COMPLETED_WITH_SPEED,Valutazione velocit? completata. La velocit? di trasferimento corrisponde a %u kbps
#From:YM27,Invalid Beacon Period
YM27,Intervallo beacon invalido
#From:LT291wifisc,This area of the screen reflects configuration settings from the <a href="../Basic/Wireless.shtml">Setup?&rarr;?Wireless Settings</a> page and the <a href="../Advanced/Protected_Setup.shtml">Advanced?&rarr;?Wi-Fi Protected Setup</a> page. The <span class="option">MAC Address</span> is the factory-assigned identifier of the wireless card.
LT291wifisc,Questa area dello schermo riflette le impostazioni configurate nelle pagine <a href="../Basic/Wireless.shtml">Configura &rarr;?Impostazioni wireless</a> e <a href="../Advanced/Protected_Setup.shtml">Avanzate &rarr;?Wi-Fi Protected Setup</a>. L'<span class="option">indirizzo MAC</span> è l'identificativo della scheda di rete assegnato dal produttore.
#From:KR1,Port Filter name
KR1,Nome filtro porta
#From:YM51,Rule \'
YM51,Regola \'
#From:ZM13,Send/Receive heartbeat
ZM13,Ritmo Invio/Ricezione
#From:GW_LAN_PRIMARY_DNS_INVALID,Primary DNS is invalid.
GW_LAN_PRIMARY_DNS_INVALID,DNS primario invalido.
#From:GW_WLAN_11A_DFS_TURBO_INVALID,Can not use Turbo in 11a mode.
GW_WLAN_11A_DFS_TURBO_INVALID,Impossibile utilizzare la funzione Turbo nella modalit? 11a.
#From:YM123,Changing your Wireless Network Name is the first step in securing your wireless network. Change it to a familiar name that does not contain any personal information.
YM123,La prima operazione richiesta per rendere più sicura la rete wireless consiste nel modificare il nome della rete stessa. Utilizzare un nome familiare che non contenga informazioni personali.
#From:TA8,If you have devices on your network that should always have fixed IP addresses, add a <strong>DHCP Reservation </strong> for each such device.
TA8,Se la rete utilizza dispositivi che devono avere un indirizzo IP fisso, aggiungere una <strong>prenotazione DHCP</strong> per ciascuno di essi.
#From:KR9,Invalid IP address for virtual server
KR9,Indirizzo IP del server virtuale invalido
#From:KR79,For example, 192.168.0.1.
KR79,Esempio: 192.168.0.1.
#From:GW_QOS_RULES_REMOTE_IP,'%s': Remote IP start, '%v' ,must be less than remote IP end, '%v'
GW_QOS_RULES_REMOTE_IP,%s': L'indirizzo IP iniziale, %v, deve essere inferiore rispetto all'indirizzo IP finale, %v
#From:.aa.bsecure.age.adult,Adult (18+)
.aa.bsecure.age.adult,Adulti (18+)
#From:ZM7,Uninitalized
ZM7,Non inizializzato
#From:YM23,Destination Port Start should not be greater than Destination Port End for Port Filter
YM23,Per il filtro porta, la porta di destinazione iniziale non può essere superiore alla porta di destinazione finale
#From:tf.USSW,Note: Some firmware upgrades reset the router's configuration options to the factory defaults.\n Before performing an upgrade, be sure to save the current configuration from the Tools-System screen.\n Do you still want to upgrade?
tf.USSW,Nota: Alcuni aggiornamenti firmware ripristinano la configurazione di default del router.\n Prima di eseguire un aggiornamento verificare di avere salvato la configurazione corrente della pagina Strumenti-Sistema.\n Procedere con l'aggiornamento?
#From:help78,Enable this option for better performance and experience with online games and other interactive applications, such as VoIP.
help78,Abilitare questa opzione per migliorare le prestazioni e l'utilizzo dei giochi online e di altre applicazioni interattive, per esempio VoIP.
#From:YM73,Enable WISH
YM73,Abilita WISH
#From:LS425,Expires
LS425,Scaduto
#From:wwl.WK,Wep Key
wwl.WK,Chiave WEP
#From:LW11,Generate New PIN
LW11,Genera nuovo PIN
#From:GW_NAT_PPTP_ALG_ACTIVATED_WARNING,<warn>The PPTP ALG has been automatically enabled because a virtual server entry you created requires it.</warn>
GW_NAT_PPTP_ALG_ACTIVATED_WARNING,<warn>Il gateway PPTP ALG è stato abilitato automaticamente in seguito a una richiesta di un server virtuale creato dall'utente.</warn>
#From:YM35,Are you sure you want to delete
YM35,Confermare la cancellazione
#From:tsc.sel_days,Select Day(s)
tsc.sel_days,Selezionare giorno/i
#From:sc.intro.rb4,The router must be rebooted before the restored settings will take effect. You can reboot now, or you can continue to make other changes and reboot later.
sc.intro.rb4,Per rendere operative le modifiche è necessario riavviare il router. ? possibile riavviarlo subito o dopo la modifica di altri parametri di configurazione.
#From:GW_SCHEDULES_TIME_INVALID,Invalid Time for schedule name: '%s'
GW_SCHEDULES_TIME_INVALID,Tempo invalido per nome pianificazione: '%s'
#From:GW_DHCP_SERVER_LEASE_TIME_INVALID,Lease time is invalid (must be 1 to 65535)
GW_DHCP_SERVER_LEASE_TIME_INVALID,Tempo di validit? invalido (deve essere compreso tra 1 e 65535)
#From:IPSMTPCLIENT_NO_SERVER_IP_ADDRESS,Unable to send email since server IP address could not resolved
IPSMTPCLIENT_NO_SERVER_IP_ADDRESS,Impossibile inviare il messaggio di posta elettronica perché il sistema non è stato in grado di risolvere l'indirizzo IP del server
#From:KR10,Private port should be in range (1..65535) for virtual server
KR10,La porta privata deve appartenere all'intervallo (1..65535) per il server virtuale
#From:GW_WEB_FILTER_HTTPS_NOT_SUPPORTED_INVALID,https is not a supported protocol.
GW_WEB_FILTER_HTTPS_NOT_SUPPORTED_INVALID,https non è un protocollo supportato.
#From:KR22,The Wireless Device PIN should be either 4 or 8 digits
KR22,Il PIN del dispositivo wireless deve essere costituito da 4 o 8 cifre
#From:.vs.both,Both
.vs.both,Entrambi
#From:wwl.alert.pv5.4,The Wireless Security Password must be at least 8 characters.
wwl.alert.pv5.4,La password di sicurezza wireless deve essere costituita da almeno 8 caratteri.
#From:GW_WIFISC_LOCK_VERIFY_ERR,AP should not be locked before configuring.
GW_WIFISC_LOCK_VERIFY_ERR,L'AP non può essere bloccato prima della configurazione.
#From:LW53,Wireless frames can be divided into smaller units (fragments) to improve performance in the presence of RF interference and at the limits of RF coverage.
LW53,Le frame wireless possono essere divise in unit? più piccole (frammentazione) al fine di migliorare le prestazioni in presenza di interferenze RF o ai limiti dalla copertura.
#From:GW_WEB_FILTER_WEB_SITE_IS_USED_INVALID,The web site address '%s' already used.
GW_WEB_FILTER_WEB_SITE_IS_USED_INVALID,Indirizzo del sito web '%s' gi? in uso.
#From:YM64,invalid source starting IP Address.
YM64,Indirizzo IP di origine iniziale invalido.
#From:GW_ROUTES_INTERFACE_INVALID,Route interface is invalid
GW_ROUTES_INTERFACE_INVALID,Interfaccia percorso invalida
#From:GW_LAN_SECONDARY_DNS_INVALID,Secondary DNS is invalid.
GW_LAN_SECONDARY_DNS_INVALID,DNS secondario invalido.
#From:bd.NETBIOS_LEARN_FROM_WAN_ENABLE,Learn NetBIOS from WAN
bd.NETBIOS_LEARN_FROM_WAN_ENABLE,Apprendi le informazioni NetBIOS dalla WAN
#From:GW_NAT_PORT_FORWARDING_TABLE_RECONFIGURED_WARNING,<warn>Port Forwarding Table is being reconfigured because the LAN subnet has been changed.</warn>
GW_NAT_PORT_FORWARDING_TABLE_RECONFIGURED_WARNING,<warn>La tabella di inoltro porte è stata riconfigurata perché la sottorete di LAN è cambiata.</warn>
#From:KR15,802.11 Band
KR15,Banda 802.11
#From:WIFISC_AP_REGISTRATION_UNEXPECTED_EVENT,AP failed to registere to Registrar (%s) through %s, unexpected (%s), at state (%s)
WIFISC_AP_REGISTRATION_UNEXPECTED_EVENT,Si è presentato un errore durante la registrazione dell'AP al Registrar (%s) mediante %s, causa (%s), err code (%u)
#From:GW_SYSLOG_ADDRESS_NOT_IN_SUBNET_WARNING,<warn>Syslog server IP address is no longer in the LAN subnet, this may need to be reconfigured.</warn>
GW_SYSLOG_ADDRESS_NOT_IN_SUBNET_WARNING,<warn>L'indirizzo IP del server Syslog non appartiene più alla sottorete di LAN e deve essere riconfigurato.</warn>
#From:GW_DHCP_SERVER_NETBIOS_SECONDARY_WINS_INVALID,Invalid secondary WINS IP address
GW_DHCP_SERVER_NETBIOS_SECONDARY_WINS_INVALID,Indirizzo IP del server WINS secondario invalido
#From:LW49,Note that this feature does not apply to the DMZ host (if one is enabled). The DMZ host always handles these kinds of sessions.
LW49,Nota: questa funzione non è applicabile a un DMZ (se abilitato). L'host DMZ tratta sempre sessioni di questo tipo.
#From:KR95,Add/Update Schedule Rule
KR95,Aggiungi/Aggiorna regola pianificazione
#From:aw.8,8 Kbytes
aw.8,8 Kbyte
#From:YM114,Invalid secondary DNS server IP address
YM114,Indirizzo IP server DNS secondario invalido
#From:bws.CT,Cipher Type
bws.CT,Tipo codice
#From:.aa.bsecure.rrated,R-rated
.aa.bsecure.rrated,R-rated
#From:LW6,Lock Wireless Security Settings
LW6,Blocca le impostazioni di sicurezza wireless
#From:bws.msg.WEP.2,You may also enter any text string into a WEP key box, in which case it will be converted into a hexadecimal key using the ASCII values of the characters. A maximum of 5 text characters can be entered for 64 bit keys, and a maximum of 13 characters for 128 bit keys.
bws.msg.WEP.2,Nel campo Chiave WEP è possibile inserire un testo. Quest'ultimo viene convertito in una chiave esadecimale costituita dai valori ASCII corrispondenti ai caratteri utilizzati. Nel caso di chiavi a 64 e 128 bit è possibile inserire un testo della lunghezza massima di 5 e 13 caratteri rispettivamente.
#From:GW_QOS_RULES_LOCAL_IP,'%s': Local IP start, '%v', must be less than local IP end, '%v'
GW_QOS_RULES_LOCAL_IP,%s': L'indirizzo IP locale iniziale, %v, deve essere inferiore rispetto all'indirizzo IP locale finale, %v
#From:GW_DHCP_SERVER_POOL_FROM_TO_ORIENTATION_INVALID,Pool IP address FROM must not be bigger than TO.
GW_DHCP_SERVER_POOL_FROM_TO_ORIENTATION_INVALID,Il pool di indirizzi IP DA non deve superare il pool di indirizzi IP A
#From:bws.CT.1,TKIP
bws.CT.1,TKIP
#From:GW_XML_CONFIG_SET_LOCK,Configuration database lock failed #%u
GW_XML_CONFIG_SET_LOCK,Errore blocco del database di configurazione #%u
#From:GW_DHCP_SERVER_RESERVED_IP_UNIQUENESS_INVALID,Reserved IP %v conflicts with another reservation
GW_DHCP_SERVER_RESERVED_IP_UNIQUENESS_INVALID,L'indirizzo IP prenotato %v è in conflitto con un'altra prenotazione
#From:wepkey2,WEP Key 2
wepkey2,Chiave WEP 2
#From:LW28,Manual Internet Connection Options
LW28,Configurazione manuale delle opzioni di connessione Internet
#From:.wepkey1,WEP Key 1
.wepkey1,Chiave WEP 1
#From:KR83,Turn this setting off to configure manually.
KR83,Per eseguire una configurazione manuale, disabilitare questa opzione.
#From:GW_SYSLOG_ADDRESS_INVALID,Syslog server IP address is invalid.
GW_SYSLOG_ADDRESS_INVALID,Indirizzo IP del server syslog invalido
#From:YM105,Invalid PPTP IP address
YM105,Indirizzo IP PPTP invalido
#From:ZM5,DHCP Client
ZM5,Client DHCP
#From:help212,WCN ActiveX Control
help212,Controllo WCN ActiveX
#From:KR45,Please push button on your wireless device, then click on the Connect button below.
KR45,Premere il pulsante sul dispositivo wireless e successivamente premere il pulsante Connetti.
#From:help19x2,To specify any other protocol, select "Other" from the list, then enter the corresponding protocol number (<a href="http://www.iana.org/assignments/protocol-numbers" target="_blank"> as assigned by the IANA</a>) in the <span class="option">Protocol</span> box.
help19x2,Per specificare un altro protocollo selezionare "Altro" dall'elenco e inserire il numero di protocollo (<a href="http://www.iana.org/assignments/protocol-numbers" target="_blank"> assegnato da IANA</a>) nel campo <span class="option">Protocollo</span>.
#From:KR36,Step 2: Connect your Wireless Device
KR36,Fase 2: Connessione del dispositivo wireless
#From:GW_ROUTES_METRIC_INVALID,Route metric %u is invalid, must be from 1 to 16
GW_ROUTES_METRIC_INVALID,Metrica del percorso %u invalida. Utilizzare un numero compreso tra 1 e 16
#From:GW_WLAN_SSID_INVALID,The SSID field can not be blank.
GW_WLAN_SSID_INVALID,Il campo SSID è obbligatorio
#From:LS46,Invalid IP Address
LS46,Indirizzo IP invalido
#From:YM179,The timeout value cannot be less than or equal to zero.
YM179,Il parametro timeout non può assumere valori minori o uguali a zero.
#From:KR78,The IP address of the router on the local area network.
KR78,Indirizzo IP del router, utilizzato per la connessione alla LAN.
#From:KR66,The bridge checks the support site for updates by way of the upstream router.
KR66,Il bridge verifica la disponibilit? di aggiornamenti sul sito di supporto per mezzo dell'upstream router.
#From:.aa.bsecure.magazine,Magazine
.aa.bsecure.magazine,Rivista
#From:KR101,The device may be too busy to properly receive it right now. Please try to save the settings again.
KR101,In questo momento il dispositivo potrebbe essere troppo impegnato per riceverlo. Ritentare il salvataggio delle modifiche.
#From:GW_WLAN_WPA_WPA_AES_INVALID,WPA only mode doesn't support AES.
GW_WLAN_WPA_WPA_AES_INVALID,La modalit? Solo WPA non supporta il protocollo AES.
#From:GW_NAT_INBOUND_FILTER,Inbound Filter
GW_NAT_INBOUND_FILTER,Filtro in entrata
#From:GW_INET_ACL_POLICY_NAME_INVALID,The Policy Name cannot be blank.
GW_INET_ACL_POLICY_NAME_INVALID,Il campo Nome politica è obbligatorio.
#From:sa.Internet,Internet
sa.Internet,Internet
#From:GW_WLAN_11A_DFS_CHANNEL_INVALID,Per regulatory request, channel 52 - 140 can not be used without enable radar detection.
GW_WLAN_11A_DFS_CHANNEL_INVALID,Per ragioni normative, i canali 52 - 140 non possono essere utilizzati senza abilitare il rilevamento radar.
#From:YM153,The rule applies to a flow of messages for which host 1's port number is within the range set here.
YM153,La regola viene applicata a un flusso di messaggi con numero di porta dell'host 1 appartenente all'intervallo definito in questo punto.
#From:at.ReIPR,Remote IP Range
at.ReIPR,L'intervallo di indirizzi IP remoti
#From:LW15,Only "Admin" account can change security settings.
LW15,Le impostazioni di sicurezza possono essere modificate solamente dall'utente 'admin'.
#From:GW_WLAN_DTIM_INVALID,DTIM should be between 1 and 255.
GW_WLAN_DTIM_INVALID,Il parametro DTIM deve essere compreso tra 1 e 255.
#From:YM144,A WISH Rule identifies a specific message flow and assigns a priority to that flow.
YM144,Una regola WISH identifica uno specifico flusso di messaggi e gli assegna una priorit?.
#From:up.tz.26,(GMT+01:00) Amsterdam, Berlin, Bern, Rome, Stockholm
up.tz.26,(GMT+01:00) Amsterdam, Berlino, Berna, Roma, Stoccolma
#From:help71,Select a filter that controls access as needed for this rule. If you do not see the filter you need in the list of filters, go to the <a href="../Advanced/Inbound_Filter.shtml"> Advanced?&rarr;?Inbound&nbsp;Filter</a> screen and create a new filter.
help71,Selezionare un filtro che controlli l'accesso, come richiesto per questa regola. Se il filtro necessario non è presente nell'elenco, accedere alla pagina <a href="../Advanced/Inbound_Filter.shtml">Avanzate&rarr;?Filtro in entrata</a> e crearne uno nuovo.
#From:GW_PURE_ADDPORTMAPPING_MODIFY,HNAP AddPortMapping modified %dth virtual server entry from '%s' %v:%d<->%v:%d %S to '%s' %v:%d<->%v:%d %S
GW_PURE_ADDPORTMAPPING_MODIFY,HNAP AddPortMapping modificato %dth voce server virtuale da '%s' %v:%d<->%v:%d %S to '%s' %v:%d<->%v:%d %S
#From:tsc.pingt.msg10,User stopped
tsc.pingt.msg10,Utente bloccato
#From:tps.foo,The printer's IP address and TCP port number are shown <a href="../Status/PS.shtml" onclick="return jump_if();">here</a>.
tps.foo,In <a href="../Status/PS.shtml" onclick="return jump_if();">questo punto</a> vengono visualizzati il numero di porta TCP e l'indirizzo IP della stampante.
#From:GW_PURE_ADDPORTMAPPING_CHG_PROTOCOL,HNAP AddPortMapping modified %dth virtual server entry from '%s' %v:%d<->%v:%d %S to %S
GW_PURE_ADDPORTMAPPING_CHG_PROTOCOL,HNAP AddPortMapping modificato %dth voce server virtuale da '%s' %v:%d<->%v:%d %S to %S
#From:LOG_PREV_MSG_REPEATED_N_TIMES,Above message repeated %d times
LOG_PREV_MSG_REPEATED_N_TIMES,Messaggio precedente ripetuto %d volte
#From:ca.intro,The <strong>user</strong> account may not perform the requested action.
ca.intro,L'account <strong>user</strong> non è abilitato all'esecuzione dell'azione richiesta.
#From:GW_WAN_LAN_ADDRESS_CONFLICT_DHCP,The addressing of the Internet side learnt thru DHCP conflicts with the addressing selected for the LAN side. Internet communications will be disabled until you have changed the LAN side addressing to resolve the problem.
GW_WAN_LAN_ADDRESS_CONFLICT_DHCP,L'indirizzo Internet assegnato dal server DHCP è in conflitto con l'indirizzo selezionato per la LAN. La comunicazione Internet viene disabilitata fino a quando non si risolve il problema, modificando l'indirizzo di LAN.
